Here is the sorted list of grocery items categorized by type:

**Fruits**
• Apples
• Bananas
• Blueberries
• Grapes
• Lemons
• Mangoes
• Oranges
• Pineapple
• Strawberries
• Watermelon

**Vegetables**
• Bell Peppers
• Broccoli
• Carrots
• Cauliflower
• Chilies
• Cucumbers
• Green Beans
• Lettuce
• Onions
• Potatoes
• Spinach
• Tomatoes
• Zucchini

**Meat**
• Chicken
• Pork

**Dairy Produce**
• Butter
• Cheese
• Cottage Cheese
• Milk
• Yogurt

**Grains**
• Bread
• Flour
• Pasta
• Rice

**Pantry**
• Coffee
• Cream
• Jam
• Peanut Butter
• Sugar
• Tea

**Condiments**
• Cooking Oil
• Vinegar
